idx,seed,dim,vars,rho_max,xc1,dx,z1,z2,a1,a2,d1,d2,Ir,ex1,ex2,n1,n2,U,angle
0,57,7,xc1 dx a1 a2 d1 d2 Ir,25,-3.0,0.6262232576397072,-0.01,-0.02,0.2,1.0,2.9532922726476154,1.5804936138411627,-1.0,0,0,74,40,59.929908122895256,[88.816597]
0,58,7,xc1 dx a1 a2 d1 d2 Ir,25,1.1665221112123667,0.2543279397772799,-0.01,-0.02,0.7084668203287499,0.6116330770659716,1.0824129312099549,1.898799231728906,-0.5293261035245378,0,0,27,47,9.89970017661371e-10,[35.99988754]
0,59,7,xc1 dx a1 a2 d1 d2 Ir,25,-3.0,0.1,-0.01,-0.02,0.2,0.36788258105972793,2.6938338920461886,2.428746372808031,-1.0,0,0,67,61,0.780903944009174,[72.68689726]
0,60,7,xc1 dx a1 a2 d1 d2 Ir,25,-3.0,0.1,-0.01,-0.02,0.2,0.38451094987271106,1.9344344420025208,1.6650396134748229,-1.0,0,0,48,42,0.13012137661592182,[55.04423625]
0,61,7,xc1 dx a1 a2 d1 d2 Ir,25,-3.0,0.1,-0.01,-0.02,0.2,0.2,1.6419349581595843,2.386333674605511,-0.29226100835859875,0,0,41,60,1.9995359320280275,[62.84086472]
0,62,7,xc1 dx a1 a2 d1 d2 Ir,25,1.774571341586457,0.37589507937977495,-0.01,-0.02,0.7040410513765601,0.6079496154816532,1.929504116026719,2.7955231915539116,-0.6911358219405972,0,0,48,70,0.00011489793637964013,[42.37009747]
0,63,7,xc1 dx a1 a2 d1 d2 Ir,25,1.740937183091441,0.38434488667875083,-0.01,-0.02,0.7350730564219021,0.21265792291434368,1.1740919260190152,2.4999159288187607,-0.5011469380203608,0,0,29,62,1.8019822875483343e-11,[55.99828051]
0,64,7,xc1 dx a1 a2 d1 d2 Ir,25,1.707340910562013,0.7400971004499466,-0.01,-0.02,0.7606874257304143,0.2971250468846262,1.03370324080454,2.9752211014725045,-0.3355473197403093,0,0,26,74,7.62177220229449e-12,[55.99905993]
0,65,7,xc1 dx a1 a2 d1 d2 Ir,25,-3.0,0.1,-0.01,-0.02,0.3440615024974185,0.2,2.057453117416764,2.1025183934988427,-1.0,0,0,51,53,0.23922043837574394,[59.89900929]
0,66,7,xc1 dx a1 a2 d1 d2 Ir,25,-3.0,0.1,-0.01,-0.02,0.2,0.2,1.5121756341820463,2.7229725984230293,-0.15827268642791792,0,0,38,68,2.896550678821407,[67.32299793]
0,67,7,xc1 dx a1 a2 d1 d2 Ir,25,-3.0,0.28555622669385206,-0.01,-0.02,0.2,1.0,2.889752232974109,1.8589327557055464,-1.0,0,0,72,46,13.051218765325743,[84.36232601]
0,68,7,xc1 dx a1 a2 d1 d2 Ir,25,1.4660399259256518,0.8683242146343638,-0.01,-0.02,0.24080896976765556,0.9998412974086843,1.2219545633600113,2.1595463639999357,-0.26844201704606757,0,0,31,54,6.36899898770709e-11,[55.99781255]
0,69,7,xc1 dx a1 a2 d1 d2 Ir,25,1.2209731535913326,0.6477966621986565,-0.01,-0.02,0.3568632679118998,0.7148230984566493,1.6560720640402629,2.8292446415583807,-0.43634822690945646,0,0,41,71,3.226518678871918e-10,[35.99276321]
0,70,7,xc1 dx a1 a2 d1 d2 Ir,25,2.0,0.1,-0.01,-0.02,0.2,1.0,2.990121440692539,1.3092879924150946,-1.0,0,0,75,33,1315.8377116249974,[24.51021586]
0,71,7,xc1 dx a1 a2 d1 d2 Ir,25,1.6131661903419874,0.4461224009456305,-0.01,-0.02,0.2953108145988342,0.8988891392791631,2.644317012379502,2.998039576400349,-0.7337627877087978,0,0,66,75,1.953687763604639e-09,[35.98211526]
