run,dim,vars,xc1,dx,z1,z2,a1,a2,d1,d2,Ir,ex1,ex2,n1,n2,U,angle
66,5,xc1 d1 d2 ex1 Ir,1.5720774269366165,1.0,-0.01,-0.02,0.2,0.2,2.0,2.0,-1.0,0.9,0,1,1,0.00019432503043648004,[57.18845486]
67,5,xc1 d1 d2 ex2 Ir,-0.8314789829909293,1.0,-0.01,-0.02,0.2,0.2,2.0,2.0,-0.7234200342490923,0,-0.7634152609801604,8,8,5.054764877805352e-11,[55.99805182]
68,5,xc1 d1 ex1 ex2 Ir,1.571992922664953,1.0,-0.01,-0.02,0.2,0.2,2.0,2.0,-1.0,0.9,-0.9,1,1,0.00019432579657895814,[57.18611269]
69,5,xc1 d2 ex1 ex2 Ir,1.571992922664953,1.0,-0.01,-0.02,0.2,0.2,2.0,2.0,-1.0,0.9,-0.9,1,1,0.00019432579657895814,[57.18611269]
70,5,dx a1 a2 d1 d2,-1,0.1,-0.01,-0.02,0.24317420131729478,0.2,2.0,2.0,-1.0,0,0,8,8,0.12193802422236334,[22.00883372]
71,5,dx a1 a2 d1 ex1,-1,0.1,-0.01,-0.02,0.24226141047560576,0.2,2.0,2.0,-1.0,0.9,0,1,1,0.0002225006775734034,[33.99489355]
72,5,dx a1 a2 d1 ex2,-1,0.5345963686831234,-0.01,-0.02,0.6065890381316598,0.21132446888343856,2.0,2.0,-1.0,0,-0.4475133463577283,8,8,0.00014552699222929608,[47.51312615]
73,5,dx a1 a2 d1 Ir,-1,0.1,-0.01,-0.02,0.24317420700721498,0.2,2.0,2.0,-1.0,0,0,8,8,0.12193802422235729,[22.00883863]
74,5,dx a1 a2 d2 ex1,-1,0.1,-0.01,-0.02,0.24226141047560576,0.2,2.0,2.0,-1.0,0.9,0,1,1,0.0002225006775734034,[33.99489355]
75,5,dx a1 a2 d2 ex2,-1,0.5345963686831234,-0.01,-0.02,0.6065890381316598,0.21132446888343856,2.0,2.0,-1.0,0,-0.4475133463577283,8,8,0.00014552699222929608,[47.51312615]
76,5,dx a1 a2 d2 Ir,-1,0.1,-0.01,-0.02,0.24317420700721498,0.2,2.0,2.0,-1.0,0,0,8,8,0.12193802422235729,[22.00883863]
